crawl 18[1.23 seconds used]: {'url': 'http://www.xizang.gov.cn:80/zwxw/98096.jhtml', 'anchor_text': u'\n\t\t\t\t\t\t\t\t\t \u5c71\u5357\u5730\u533a2016\u5e74\u53d1\u5c55\u6539\u9769\u5de5\u4f5c\u7535\u89c6\u7535\u8bdd\u4f1a\u8bae\u53ec\u5f00', 'value': 4},  [762 urls left in queue]
crawl 19[1.00 seconds used]: {'url': 'http://www.xizang.gov.cn:80/zwxw/98203.jhtml', 'anchor_text': u'\n\t\t\t\t\t\t\t\t\t \u5c71\u5357\u64a4\u5730\u8bbe\u5e02\u201c\u4e09\u4f1a\u201d\u7b79\u5907\u5de5\u4f5c\u8fdb\u5c55\u987a\u5229', 'value': 4},  [760 urls left in queue]
crawl 20[0.51 seconds used]: {'url': 'http://tibet.news.cn/gdbb/2011-05/27/content_22874841_1.htm', 'anchor_text': u'\u897f\u85cf60\u5e74\u6587\u5316\u5efa\u8bbe\u6210\u679c\u7efc\u8ff0\uff1a\u6587\u5316\u5de5\u7a0b\u60e0\u53ca\u5404\u65cf\u7fa4\u4f17', 'value': 3},  [771 urls left in queue]
crawl 21[1.14 seconds used]: {'url': 'http://www.xizang.gov.cn:80/xzjjfz/98212.jhtml', 'anchor_text': u'\n\t\t\t\t\t\t\u897f\u85cf\u94f6\u884c\u6b63\u5f0f\u843d\u6237\u660c\u90fd', 'value': 2},  [770 urls left in queue]
crawl 22[1.25 seconds used]: {'url': 'http://www.xizang.gov.cn:80/zwxw/98301.jhtml', 'anchor_text': u'\n\t\t\t\t\t\t\t\t\t \u90a3\u66f2\u5730\u533a\u4e3e\u884c\u5e86\u795d\u897f\u85cf\u767e\u4e07\u519c\u5974\u89e3\u653e57\u5468\u5e74\u5347\u56fd\u65d7\u4eea\u5f0f', 'value': 2},  [769 urls left in queue]
crawl 23[1.16 seconds used]: {'url': 'http://www.xizang.gov.cn:80/tzgg/92137.jhtml', 'anchor_text': u'\n\u62c9\u8428\u81f3\u6797\u829d\u9ad8\u7b49\u7ea7\u516c\u8def\u5efa\u6210\u6bb5\u8bd5\u8fd0\u884c\u516c\u544a\t\t\t\t\t\t\t ', 'value': 2},  [767 urls left in queue]
crawl 24[0.29 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201112/t20111227_1413584.html', 'anchor_text': u'\u897f\u85cf\u5927\u6279\u9ed1\u9888\u9e64\u5728\u62c9\u8428\u6cb3\u8c37\u5730\u5e26\u8d8a\u51ac', 'value': 2},  [828 urls left in queue]
crawl 25[0.31 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201408/t20140822_2015302.html', 'anchor_text': u'\u5bf9\u53e3\u63f4\u85cf20\u5e74\uff1a7600\u591a\u4e2a\u63f4\u5efa\u9879\u76ee\u52a9\u63a8\u897f\u85cf\u53d1\u5c55', 'value': 4},  [836 urls left in queue]
crawl 26[0.30 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201408/t20140825_2016286.html', 'anchor_text': u'\u4e09\u5927\u63f4\u85cf\u5408\u529b\u63a8\u52a8\u897f\u85cf\u8de8\u8d8a\u53d1\u5c55', 'value': 4},  [839 urls left in queue]
crawl 27[0.28 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201101/t20110118_853432.html', 'anchor_text': u'\u897f\u85cf\u81ea\u6cbb\u533a\u6559\u80b2\u5de5\u4f5c\u4f1a\u8bae\u5728\u62c9\u8428\u53ec\u5f00', 'value': 2},  [862 urls left in queue]
